orig_row,text,n_terms,dominant_topic,topic_0,topic_1,topic_2,topic_3
14002,9 Kaip pagreitinti kompiuterį paprastais triukais,4,1,0.05,0.85,0.05,0.05
14976,76 Transfer rumors suggest a record deal for the young striker po pranešimo,8,3,0.028,0.028,0.028,0.916
11164,Coach explains new defensive tactics after the game dėl rinkos reakcijos (New York),10,2,0.024,0.024,0.928,0.024
1660,93 Start-up raises $50 million to scale its AI platform (Madrid),7,3,0.032,0.032,0.032,0.905
12974,31 Treneris aiškino naują gynybos taktiką po rungtynių (Kaunas),7,0,0.905,0.032,0.031,0.031
22458,Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus — analysts say (Vilnius),10,2,0.023,0.023,0.93,0.024
29614,75 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,3,0.036,0.036,0.036,0.893
41,Messi scores a stunning goal in the Champions League match analitikų teigimu,9,2,0.025,0.025,0.924,0.025
20258,36 Analysts predict record profits for the banking sector,6,3,0.036,0.036,0.036,0.893
45019,26 10 reasons you should never buy this gadget,3,2,0.063,0.063,0.812,0.063
461,10 reasons you should never buy this gadget — Find out why,3,2,0.063,0.063,0.812,0.063
25744,16 You won't believe what happened next,3,1,0.063,0.812,0.063,0.063
517,Coach explains new defensive tactics after the game amid concerns,8,2,0.264,0.028,0.68,0.028
4352,70 Stock market falls amid inflation concerns,6,0,0.893,0.036,0.036,0.036
38658,91 Top 7 secrets companies don't want you to know — You won't believe it,7,2,0.031,0.281,0.656,0.031
586,Žvaigždė pasirašė daugiametę sutartį su klubu (Kaunas),6,0,0.892,0.036,0.036,0.036
2344,„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis dėl rinkos reakcijos,10,1,0.023,0.93,0.023,0.023
1117,17 Earnings beat expectations as revenue grows in cloud segment,7,3,0.031,0.031,0.031,0.906
334,Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus (New York),9,2,0.025,0.025,0.924,0.025
34699,22 Earnings beat expectations as revenue grows in cloud segment analitikų teigimu,9,3,0.025,0.025,0.025,0.924
35007,"67 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Find out why",4,2,0.05,0.05,0.85,0.05
48763,85 Coach explains new defensive tactics after the game,6,2,0.036,0.036,0.892,0.036
45270,45 She did X — what happens next will shock you — Read more,4,1,0.05,0.85,0.05,0.05
15448,8 This trick will change your life forever (London),5,2,0.042,0.042,0.874,0.042
30467,61 Šis triukas pakeis jūsų gyvenimą amžiams — Read more,6,1,0.036,0.893,0.036,0.036
25227,19 She did X — what happens next will shock you,3,1,0.063,0.812,0.063,0.063
24946,23 Coach explains new defensive tactics after the game (Paris),7,2,0.032,0.032,0.905,0.032
39533,63 Messi įmušė įspūdingą įvartį Lygų taurėje,6,2,0.036,0.036,0.893,0.036
38046,96 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,2,0.031,0.031,0.906,0.031
19715,67 How to speed up your computer with simple tweaks analitikų teigimu,6,3,0.036,0.036,0.036,0.891
20697,7 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.893,0.036,0.036,0.036
47109,66 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose as markets react,8,3,0.03,0.028,0.028,0.914
28991,95 Major security breach affects millions of users worldwide (Madrid),8,1,0.028,0.916,0.028,0.028
5038,97 10 reasons you should never buy this gadget (Berlin),4,2,0.051,0.051,0.848,0.051
32136,2 Coach explains new defensive tactics after the game analitikų teigimu,8,2,0.028,0.028,0.915,0.028
6489,"36 Central bank cuts rates, markets rally on dovish guidance",8,0,0.917,0.028,0.028,0.028
45779,93 Top 7 secrets companies don't want you to know,5,2,0.042,0.042,0.875,0.042
28434,15 How to speed up your computer with simple tweaks (Berlin),5,3,0.043,0.043,0.043,0.872
28377,11 Investors hedge inflation risk using index-linked bonds analitikų teigimu,10,3,0.023,0.023,0.023,0.931
2351,Earnings beat expectations as revenue grows in cloud segment (London),8,3,0.028,0.028,0.028,0.916
46954,Star player signs a multi-year contract with club as markets react (New York),11,0,0.936,0.021,0.021,0.021
23244,"52 Central bank cuts rates, markets rally on dovish guidance (New York)",10,0,0.931,0.023,0.023,0.023
148,Žvaigždė pasirašė daugiametę sutartį su klubu,5,0,0.875,0.042,0.042,0.042
1996,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose amid concerns,8,3,0.25,0.028,0.028,0.694
6712,"2 10 priežasčių, kodėl niekada nepirkti šio daikto",6,0,0.893,0.036,0.036,0.036
928,"Central bank cuts rates, markets rally on dovish guidance (Berlin)",9,0,0.925,0.025,0.025,0.025
2548,71 Messi scores a stunning goal in the Champions League match,7,2,0.031,0.031,0.906,0.031
1123,Analysts predict record profits for the banking sector analitikų teigimu,8,3,0.028,0.028,0.028,0.916
4286,Local team wins national championship in overtime in a surprise move,7,2,0.032,0.032,0.905,0.032
9733,97 Startuolis pritraukė 50 mln. USD DI platformos plėtrai (London),8,0,0.915,0.028,0.028,0.028
28453,36 She did X — what happens next will shock you,3,1,0.063,0.812,0.063,0.063
29781,6 You won't believe what happened next — Number 5 is shocking (New York),7,1,0.032,0.904,0.033,0.032
30511,10 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.893,0.036,0.036,0.036
10905,3 10 reasons you should never buy this gadget,3,2,0.063,0.063,0.812,0.063
1925,Coach explains new defensive tactics after the game (Paris),7,2,0.032,0.032,0.905,0.032
19410,67 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose as markets react (Paris),9,3,0.027,0.025,0.025,0.922
990,20 Messi įmušė įspūdingą įvartį Lygų taurėje,6,2,0.036,0.036,0.893,0.036
39213,27 Messi įmušė įspūdingą įvartį Lygų taurėje in a surprise move,7,2,0.032,0.032,0.905,0.032
43013,44 Open-source libraries accelerate machine learning workflows,7,2,0.031,0.031,0.906,0.031
2213,"53 Central bank cuts rates, markets rally on dovish guidance",8,0,0.917,0.028,0.028,0.028
44837,97 Transfer rumors suggest a record deal for the young striker as markets react (London),10,3,0.024,0.023,0.023,0.93
20447,31 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą dėl rinkos reakcijos,9,1,0.025,0.924,0.025,0.025
2922,How to speed up your computer with simple tweaks dėl rinkos reakcijos,6,3,0.037,0.037,0.036,0.891
28625,19 How to speed up your computer with simple tweaks,4,3,0.05,0.05,0.05,0.85
108,Investors hedge inflation risk using index-linked bonds,8,3,0.028,0.028,0.028,0.916
38599,49 Star player signs a multi-year contract with club (Berlin),8,0,0.916,0.028,0.028,0.028
6862,31 Coach explains new defensive tactics after the game amid concerns,8,2,0.264,0.028,0.68,0.028
25727,31 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,3,0.036,0.036,0.036,0.893
40332,80 Local team wins national championship in overtime,6,2,0.036,0.036,0.893,0.036
20350,70 How to speed up your computer with simple tweaks,4,3,0.05,0.05,0.05,0.85
44285,8 This trick will change your life forever,4,2,0.05,0.05,0.85,0.05
14377,90 Open-source libraries accelerate machine learning workflows,7,2,0.031,0.031,0.906,0.031
22698,66 You won't believe what happened next,3,1,0.063,0.812,0.063,0.063
35832,47 Top 7 secrets companies don't want you to know,5,2,0.042,0.042,0.875,0.042
10604,Stock market falls amid inflation concerns after report,7,0,0.906,0.031,0.031,0.031
25642,90 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis dėl rinkos reakcijos (New York),12,1,0.02,0.941,0.02,0.02
16187,56 Apple unveils a new iPhone with advanced camera and AI features,8,3,0.028,0.028,0.028,0.916
28594,100 Start-up raises $50 million to scale its AI platform,6,3,0.036,0.036,0.036,0.893
12280,94 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,3,0.036,0.036,0.036,0.893
1413,"Ji padarė X — kas nutiks toliau, pribloškia (Vilnius)",6,1,0.036,0.892,0.036,0.036
6120,"10 priežasčių, kodėl niekada nepirkti šio daikto — Number 5 is shocking (Vilnius)",9,0,0.919,0.028,0.028,0.025
14119,89 Messi įmušė įspūdingą įvartį Lygų taurėje,6,2,0.036,0.036,0.893,0.036
26380,69 Investors hedge inflation risk using index-linked bonds — analysts say,10,3,0.023,0.023,0.023,0.932
28546,40 Šis triukas pakeis jūsų gyvenimą amžiams,5,1,0.042,0.875,0.042,0.042
8997,21 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,2,0.031,0.031,0.906,0.031
14017,73 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,3,0.036,0.036,0.036,0.893
2677,Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą (Madrid),8,1,0.028,0.916,0.028,0.028
48469,64 Transfer rumors suggest a record deal for the young striker,7,3,0.031,0.031,0.031,0.906
357,46 This trick will change your life forever,4,2,0.05,0.05,0.85,0.05
3464,43 Star player signs a multi-year contract with club,7,0,0.906,0.031,0.031,0.031
18998,89 Major security breach affects millions of users worldwide,7,1,0.031,0.906,0.031,0.031
49060,58 She did X — what happens next will shock you,3,1,0.063,0.812,0.063,0.063
23145,Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus — analysts say (Madrid),10,2,0.023,0.023,0.93,0.024
2045,"Negalėsite patikėti, kas įvyko toliau — Find out why (New York)",6,2,0.036,0.038,0.89,0.036
9508,Start-up raises $50 million to scale its AI platform dėl rinkos reakcijos (London),9,3,0.025,0.026,0.025,0.924
49366,14 Treneris aiškino naują gynybos taktiką po rungtynių (London),7,0,0.904,0.032,0.032,0.032
21728,55 Local team wins national championship in overtime,6,2,0.036,0.036,0.893,0.036
49148,46 Local team wins national championship in overtime,6,2,0.036,0.036,0.893,0.036
24439,32 Stock market falls amid inflation concerns dėl rinkos reakcijos,8,0,0.915,0.028,0.028,0.028
698,"Ji padarė X — kas nutiks toliau, pribloškia (Kaunas)",6,1,0.036,0.892,0.036,0.036
20361,Open-source libraries accelerate machine learning workflows — analysts say (Berlin),10,2,0.023,0.023,0.93,0.024
24213,69 10 reasons you should never buy this gadget,3,2,0.063,0.063,0.812,0.063
11001,88 Messi scores a stunning goal in the Champions League match po pranešimo,8,2,0.028,0.028,0.916,0.028
49973,72 She did X — what happens next will shock you,3,1,0.063,0.812,0.063,0.063
1384,Open-source libraries accelerate machine learning workflows after report,8,2,0.134,0.029,0.809,0.028
1614,"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — You won't believe it (Kaunas)",7,2,0.032,0.354,0.583,0.031
20900,You won't believe what happened next — Read more (Kaunas),5,1,0.042,0.874,0.042,0.042
3218,Major security breach affects millions of users worldwide after report (Berlin),9,1,0.025,0.924,0.025,0.025
11120,76 She did X — what happens next will shock you,3,1,0.063,0.812,0.063,0.063
598,Žvaigždė pasirašė daugiametę sutartį su klubu dėl rinkos reakcijos (Berlin),8,0,0.915,0.029,0.028,0.028
21636,74 10 reasons you should never buy this gadget — Read more,4,2,0.05,0.052,0.848,0.05
299,9 Startuolis pritraukė 50 mln. USD DI platformos plėtrai,7,0,0.906,0.032,0.031,0.031
28721,10 reasons you should never buy this gadget — Number 5 is shocking (Paris),6,2,0.036,0.037,0.891,0.036
2690,Treneris aiškino naują gynybos taktiką po rungtynių after report (Vilnius),8,0,0.914,0.029,0.028,0.028
5820,Kaip pagreitinti kompiuterį paprastais triukais (Berlin),5,1,0.042,0.874,0.042,0.042
38151,88 How to speed up your computer with simple tweaks (Berlin),5,3,0.043,0.043,0.043,0.872
18039,Star player signs a multi-year contract with club po pranešimo (New York),10,0,0.93,0.023,0.023,0.023
43735,"Ji padarė X — kas nutiks toliau, pribloškia — Read more (Paris)",7,1,0.031,0.905,0.032,0.031
8096,86 She did X — what happens next will shock you (Paris),4,1,0.05,0.848,0.051,0.051
37220,88 Open-source libraries accelerate machine learning workflows after report,8,2,0.134,0.029,0.809,0.028
2915,59 Local team wins national championship in overtime (New York),8,2,0.028,0.028,0.915,0.028
9548,65 Major security breach affects millions of users worldwide,7,1,0.031,0.906,0.031,0.031
25414,18 Stock market falls amid inflation concerns,6,0,0.893,0.036,0.036,0.036
587,Coach explains new defensive tactics after the game (Vilnius),7,2,0.031,0.032,0.905,0.032
39990,100 You won't believe what happened next (Kaunas),4,1,0.051,0.849,0.05,0.05
33300,52 Star player signs a multi-year contract with club dėl rinkos reakcijos,9,0,0.924,0.025,0.025,0.025
21459,60 Kaip pagreitinti kompiuterį paprastais triukais,4,1,0.05,0.85,0.05,0.05
30330,"72 Ji padarė X — kas nutiks toliau, pribloškia",5,1,0.042,0.875,0.042,0.042
7146,58 Earnings beat expectations as revenue grows in cloud segment,7,3,0.031,0.031,0.031,0.906
18029,79 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,3,0.036,0.036,0.036,0.893
16258,34 Didelė saugumo spraga paveikė milijonus vartotojų,6,1,0.036,0.893,0.036,0.036
45421,Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą in a surprise move (Kaunas),9,1,0.025,0.924,0.025,0.025
42554,Treneris aiškino naują gynybos taktiką po rungtynių po pranešimo (Madrid),8,0,0.916,0.028,0.028,0.028
3520,45 Earnings beat expectations as revenue grows in cloud segment (London),8,3,0.028,0.028,0.028,0.916
30474,91 Apple unveils a new iPhone with advanced camera and AI features amid concerns,10,3,0.214,0.023,0.023,0.74
13685,10 reasons you should never buy this gadget — You won't believe it (London),6,2,0.036,0.358,0.57,0.036
4401,81 Startuolis pritraukė 50 mln. USD DI platformos plėtrai,7,0,0.906,0.032,0.031,0.031
20337,90 Coach explains new defensive tactics after the game,6,2,0.036,0.036,0.892,0.036
12237,Star player signs a multi-year contract with club po pranešimo (Kaunas),9,0,0.924,0.025,0.025,0.025
8791,72 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.893,0.036,0.036,0.036
5043,Didelė saugumo spraga paveikė milijonus vartotojų (Kaunas),7,1,0.031,0.906,0.031,0.031
24474,61 This trick will change your life forever,4,2,0.05,0.05,0.85,0.05
16070,"85 10 priežasčių, kodėl niekada nepirkti šio daikto — Find out why",6,0,0.893,0.036,0.036,0.036
16499,30 Star player signs a multi-year contract with club,7,0,0.906,0.031,0.031,0.031
9488,32 Star player signs a multi-year contract with club,7,0,0.906,0.031,0.031,0.031
2698,53 Stock market falls amid inflation concerns dėl rinkos reakcijos,8,0,0.915,0.028,0.028,0.028
4267,Star player signs a multi-year contract with club po pranešimo (Berlin),9,0,0.924,0.025,0.025,0.025
40631,66 Earnings beat expectations as revenue grows in cloud segment,7,3,0.031,0.031,0.031,0.906
6237,34 Apple unveils a new iPhone with advanced camera and AI features,8,3,0.028,0.028,0.028,0.916
2322,75 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (New York),10,1,0.023,0.93,0.023,0.023
9387,54 Žvaigždė pasirašė daugiametę sutartį su klubu,5,0,0.875,0.042,0.042,0.042
34927,Messi scores a stunning goal in the Champions League match — analysts say (Paris),10,2,0.023,0.023,0.93,0.024
1369,16 Transfer rumors suggest a record deal for the young striker (Berlin),8,3,0.028,0.028,0.028,0.916
17002,49 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.893,0.036,0.036,0.036
29527,85 Investors hedge inflation risk using index-linked bonds (Madrid),9,3,0.026,0.025,0.025,0.924
390,Apple unveils a new iPhone with advanced camera and AI features dėl rinkos reakcijos (Madrid),11,3,0.021,0.022,0.021,0.936
18478,24 Open-source libraries accelerate machine learning workflows,7,2,0.031,0.031,0.906,0.031
40213,28 Open-source libraries accelerate machine learning workflows,7,2,0.031,0.031,0.906,0.031
18785,31 Startuolis pritraukė 50 mln. USD DI platformos plėtrai,7,0,0.906,0.032,0.031,0.031
12739,62 10 reasons you should never buy this gadget,3,2,0.063,0.063,0.812,0.063
11133,"63 10 priežasčių, kodėl niekada nepirkti šio daikto",6,0,0.893,0.036,0.036,0.036
35679,This trick will change your life forever — You won't believe it (Paris),7,2,0.031,0.314,0.624,0.031
47735,20 Start-up raises $50 million to scale its AI platform dėl rinkos reakcijos,8,3,0.028,0.028,0.028,0.916
12,"10 priežasčių, kodėl niekada nepirkti šio daikto",6,0,0.893,0.036,0.036,0.036
12982,88 Start-up raises $50 million to scale its AI platform,6,3,0.036,0.036,0.036,0.893
12737,67 Apple unveils a new iPhone with advanced camera and AI features,8,3,0.028,0.028,0.028,0.916
18821,"Ji padarė X — kas nutiks toliau, pribloškia — You won't believe it (New York)",9,1,0.025,0.924,0.026,0.025
13850,15 Apple unveils a new iPhone with advanced camera and AI features analitikų teigimu,10,3,0.023,0.023,0.023,0.931
28066,67 Coach explains new defensive tactics after the game,6,2,0.036,0.036,0.892,0.036
39406,Apple unveils a new iPhone with advanced camera and AI features amid concerns (Kaunas),11,3,0.222,0.021,0.021,0.736
23362,2 10 reasons you should never buy this gadget,3,2,0.063,0.063,0.812,0.063
2998,Didelė saugumo spraga paveikė milijonus vartotojų (London),7,1,0.031,0.905,0.032,0.032
915,Apple unveils a new iPhone with advanced camera and AI features po pranešimo (Vilnius),10,3,0.023,0.023,0.023,0.931
929,Messi įmušė įspūdingą įvartį Lygų taurėje analitikų teigimu,8,2,0.028,0.028,0.916,0.028
193,35 Messi scores a stunning goal in the Champions League match po pranešimo,8,2,0.028,0.028,0.916,0.028
34397,53 Top 7 secrets companies don't want you to know (Kaunas),6,2,0.037,0.037,0.891,0.036
36870,36 Start-up raises $50 million to scale its AI platform,6,3,0.036,0.036,0.036,0.893
11738,64 This trick will change your life forever — Number 5 is shocking,6,2,0.036,0.037,0.892,0.036
32695,65 Local team wins national championship in overtime,6,2,0.036,0.036,0.893,0.036
23396,"81 Negalėsite patikėti, kas įvyko toliau",4,2,0.05,0.051,0.849,0.05
30,Kaip pagreitinti kompiuterį paprastais triukais,4,1,0.05,0.85,0.05,0.05
16351,"32 Central bank cuts rates, markets rally on dovish guidance dėl rinkos reakcijos",10,0,0.931,0.023,0.023,0.023
8236,62 Top 7 secrets companies don't want you to know — Number 5 is shocking,7,2,0.031,0.032,0.906,0.031
34184,90 Kaip pagreitinti kompiuterį paprastais triukais,4,1,0.05,0.85,0.05,0.05
18847,4 10 reasons you should never buy this gadget,3,2,0.063,0.063,0.812,0.063
8802,36 Analysts predict record profits for the banking sector — analysts say,8,3,0.028,0.028,0.028,0.916
13887,62 Kaip pagreitinti kompiuterį paprastais triukais (London),5,1,0.042,0.873,0.043,0.043
9313,6 Open-source libraries accelerate machine learning workflows,7,2,0.031,0.031,0.906,0.031
11906,79 This trick will change your life forever,4,2,0.05,0.05,0.85,0.05
730,Star player signs a multi-year contract with club after report,8,0,0.917,0.028,0.028,0.028
18741,18 Start-up raises $50 million to scale its AI platform,6,3,0.036,0.036,0.036,0.893
2170,Analysts predict record profits for the banking sector amid concerns,8,3,0.25,0.028,0.028,0.694
39947,Messi įmušė įspūdingą įvartį Lygų taurėje in a surprise move (Vilnius),8,2,0.028,0.028,0.915,0.029
17231,13 Investors hedge inflation risk using index-linked bonds,8,3,0.028,0.028,0.028,0.916
38091,"89 Negalėsite patikėti, kas įvyko toliau (Madrid)",5,2,0.042,0.044,0.871,0.042
18389,Startuolis pritraukė 50 mln. USD DI platformos plėtrai in a surprise move (Kaunas),9,0,0.924,0.026,0.025,0.025
35177,46 Earnings beat expectations as revenue grows in cloud segment in a surprise move,8,3,0.028,0.028,0.028,0.916
5740,46 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,7,1,0.031,0.906,0.031,0.031
33748,12 Local team wins national championship in overtime,6,2,0.036,0.036,0.893,0.036
9103,60 Kaip pagreitinti kompiuterį paprastais triukais (New York),6,1,0.036,0.891,0.037,0.036
38070,95 Major security breach affects millions of users worldwide in a surprise move,8,1,0.028,0.916,0.028,0.028
117,Messi scores a stunning goal in the Champions League match,7,2,0.031,0.031,0.906,0.031
5989,81 Messi įmušė įspūdingą įvartį Lygų taurėje,6,2,0.036,0.036,0.893,0.036
2120,92 Start-up raises $50 million to scale its AI platform,6,3,0.036,0.036,0.036,0.893
34628,16 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,7,1,0.031,0.906,0.031,0.031
21228,"33 Negalėsite patikėti, kas įvyko toliau — You won't believe it",6,2,0.036,0.4,0.529,0.036
27633,Major security breach affects millions of users worldwide po pranešimo (Kaunas),9,1,0.026,0.923,0.025,0.026
5046,95 Didelė saugumo spraga paveikė milijonus vartotojų,6,1,0.036,0.893,0.036,0.036
35005,83 This trick will change your life forever (Madrid),5,2,0.042,0.043,0.873,0.042
4270,„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis as markets react,10,1,0.155,0.799,0.023,0.024
32588,63 How to speed up your computer with simple tweaks,4,3,0.05,0.05,0.05,0.85
