orig_row,text,n_terms,dominant_topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
9177,31 Kaip pagreitinti kompiuterį paprastais triukais,4,5,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02
20269,Apple unveils a new iPhone with advanced camera and AI features — analysts say (Kaunas),11,3,0.008,0.008,0.008,0.925,0.008,0.008,0.008,0.008,0.008,0.008
2156,33 This trick will change your life forever,4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
5642,38 Top 7 secrets companies don't want you to know (London),6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
37336,62 10 reasons you should never buy this gadget (Berlin),4,7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02
14288,29 You won't believe what happened next,3,1,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
26,Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus dėl rinkos reakcijos,9,8,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.71,0.01
17125,31 Treneris aiškino naują gynybos taktiką po rungtynių amid concerns (London),9,0,0.691,0.01,0.01,0.01,0.229,0.01,0.01,0.01,0.01,0.01
7349,49 Top 7 secrets companies don't want you to know,5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
14273,Coach explains new defensive tactics after the game po pranešimo (Kaunas),8,2,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011
906,92 Local team wins national championship in overtime,6,7,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014
15081,23 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (Kaunas),9,1,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
47419,38 Žvaigždė pasirašė daugiametę sutartį su klubu,5,8,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.85,0.017
9941,29 Coach explains new defensive tactics after the game,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
2846,28 Transfer rumors suggest a record deal for the young striker,7,3,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013
45728,58 Apple unveils a new iPhone with advanced camera and AI features,8,3,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011
5102,55 You won't believe what happened next,3,1,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2767,"59 Ji padarė X — kas nutiks toliau, pribloškia",5,1,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
30560,96 Didelė saugumo spraga paveikė milijonus vartotojų after report,7,6,0.013,0.013,0.013,0.013,0.013,0.013,0.763,0.013,0.013,0.137
28092,87 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
1871,Start-up raises $50 million to scale its AI platform (New York),8,3,0.011,0.127,0.011,0.784,0.011,0.011,0.011,0.011,0.011,0.011
32044,92 Treneris aiškino naują gynybos taktiką po rungtynių (Paris),7,0,0.754,0.146,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
1247,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (Vilnius),7,0,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
4817,Apple unveils a new iPhone with advanced camera and AI features (London),9,3,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01
44417,Coach explains new defensive tactics after the game — analysts say (Vilnius),9,2,0.01,0.01,0.672,0.01,0.248,0.01,0.01,0.01,0.01,0.01
6126,"58 Ji padarė X — kas nutiks toliau, pribloškia",5,1,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
1895,23 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
33467,Major security breach affects millions of users worldwide after report (New York),10,1,0.009,0.918,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
3971,Stock market falls amid inflation concerns dėl rinkos reakcijos,8,4,0.011,0.011,0.011,0.011,0.678,0.011,0.233,0.011,0.011,0.011
13452,36 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
26406,6 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis,8,1,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
27456,72 Apple unveils a new iPhone with advanced camera and AI features,8,3,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011
5432,98 Open-source libraries accelerate machine learning workflows (Berlin),8,9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9
216,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (London),7,0,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
14002,9 Kaip pagreitinti kompiuterį paprastais triukais,4,5,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02
14976,76 Transfer rumors suggest a record deal for the young striker po pranešimo,8,3,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011
11164,Coach explains new defensive tactics after the game dėl rinkos reakcijos (New York),10,2,0.009,0.009,0.736,0.009,0.009,0.009,0.191,0.009,0.009,0.009
1660,93 Start-up raises $50 million to scale its AI platform (Madrid),7,3,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013
12974,31 Treneris aiškino naują gynybos taktiką po rungtynių (Kaunas),7,0,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
22458,Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus — analysts say (Vilnius),10,8,0.009,0.009,0.009,0.009,0.2,0.009,0.009,0.009,0.727,0.009
29614,75 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
41,Messi scores a stunning goal in the Champions League match analitikų teigimu,9,4,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01
20258,36 Analysts predict record profits for the banking sector,6,4,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014
45019,26 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
461,10 reasons you should never buy this gadget — Find out why,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
25744,16 You won't believe what happened next,3,1,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
517,Coach explains new defensive tactics after the game amid concerns,8,2,0.011,0.011,0.675,0.011,0.236,0.011,0.011,0.011,0.011,0.011
4352,70 Stock market falls amid inflation concerns,6,4,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014
38658,91 Top 7 secrets companies don't want you to know — You won't believe it,7,2,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013
586,Žvaigždė pasirašė daugiametę sutartį su klubu (Kaunas),6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
2344,„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis dėl rinkos reakcijos,10,1,0.009,0.736,0.009,0.009,0.009,0.009,0.191,0.009,0.009,0.009
1117,17 Earnings beat expectations as revenue grows in cloud segment,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
334,Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus (New York),9,8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01
34699,22 Earnings beat expectations as revenue grows in cloud segment analitikų teigimu,9,8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01
35007,"67 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Find out why",4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
48763,85 Coach explains new defensive tactics after the game,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
45270,45 She did X — what happens next will shock you — Read more,4,7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02
15448,8 This trick will change your life forever (London),5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
30467,61 Šis triukas pakeis jūsų gyvenimą amžiams — Read more,6,1,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
25227,19 She did X — what happens next will shock you,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
24946,23 Coach explains new defensive tactics after the game (Paris),7,2,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013
39533,63 Messi įmušė įspūdingą įvartį Lygų taurėje,6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
38046,96 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
19715,67 How to speed up your computer with simple tweaks analitikų teigimu,6,5,0.014,0.014,0.014,0.014,0.3,0.586,0.014,0.014,0.014,0.014
20697,7 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
47109,66 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose as markets react,8,0,0.678,0.011,0.011,0.011,0.011,0.233,0.011,0.011,0.011,0.011
28991,95 Major security breach affects millions of users worldwide (Madrid),8,1,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
5038,97 10 reasons you should never buy this gadget (Berlin),4,7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02
32136,2 Coach explains new defensive tactics after the game analitikų teigimu,8,2,0.011,0.011,0.675,0.011,0.236,0.011,0.011,0.011,0.011,0.011
6489,"36 Central bank cuts rates, markets rally on dovish guidance",8,5,0.011,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011
45779,93 Top 7 secrets companies don't want you to know,5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
28434,15 How to speed up your computer with simple tweaks (Berlin),5,5,0.017,0.017,0.017,0.017,0.017,0.85,0.017,0.017,0.017,0.017
28377,11 Investors hedge inflation risk using index-linked bonds analitikų teigimu,10,9,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.918
2351,Earnings beat expectations as revenue grows in cloud segment (London),8,8,0.011,0.011,0.122,0.011,0.011,0.011,0.011,0.011,0.789,0.011
46954,Star player signs a multi-year contract with club as markets react (New York),11,8,0.008,0.008,0.008,0.008,0.008,0.22,0.008,0.008,0.713,0.008
23244,"52 Central bank cuts rates, markets rally on dovish guidance (New York)",10,5,0.009,0.009,0.009,0.009,0.009,0.918,0.009,0.009,0.009,0.009
148,Žvaigždė pasirašė daugiametę sutartį su klubu,5,8,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.85,0.017
1996,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose amid concerns,8,0,0.678,0.011,0.011,0.011,0.233,0.011,0.011,0.011,0.011,0.011
6712,"2 10 priežasčių, kodėl niekada nepirkti šio daikto",6,9,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871
928,"Central bank cuts rates, markets rally on dovish guidance (Berlin)",9,5,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01
2548,71 Messi scores a stunning goal in the Champions League match,7,4,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013
1123,Analysts predict record profits for the banking sector analitikų teigimu,8,4,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011
4286,Local team wins national championship in overtime in a surprise move,7,7,0.013,0.013,0.013,0.013,0.013,0.137,0.013,0.763,0.013,0.013
9733,97 Startuolis pritraukė 50 mln. USD DI platformos plėtrai (London),8,0,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
28453,36 She did X — what happens next will shock you,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
29781,6 You won't believe what happened next — Number 5 is shocking (New York),7,1,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
30511,10 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
10905,3 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
1925,Coach explains new defensive tactics after the game (Paris),7,2,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013
19410,67 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose as markets react (Paris),9,0,0.61,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01
990,20 Messi įmušė įspūdingą įvartį Lygų taurėje,6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
39213,27 Messi įmušė įspūdingą įvartį Lygų taurėje in a surprise move,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
43013,44 Open-source libraries accelerate machine learning workflows,7,9,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887
2213,"53 Central bank cuts rates, markets rally on dovish guidance",8,5,0.011,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011
44837,97 Transfer rumors suggest a record deal for the young striker as markets react (London),10,3,0.009,0.009,0.009,0.918,0.009,0.009,0.009,0.009,0.009,0.009
20447,31 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą dėl rinkos reakcijos,9,5,0.01,0.01,0.01,0.01,0.01,0.71,0.21,0.01,0.01,0.01
2922,How to speed up your computer with simple tweaks dėl rinkos reakcijos,6,5,0.014,0.014,0.014,0.014,0.014,0.586,0.3,0.014,0.014,0.014
28625,19 How to speed up your computer with simple tweaks,4,5,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02
108,Investors hedge inflation risk using index-linked bonds,8,9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9
38599,49 Star player signs a multi-year contract with club (Berlin),8,8,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9,0.011
6862,31 Coach explains new defensive tactics after the game amid concerns,8,2,0.011,0.011,0.675,0.011,0.236,0.011,0.011,0.011,0.011,0.011
25727,31 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
40332,80 Local team wins national championship in overtime,6,7,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014
20350,70 How to speed up your computer with simple tweaks,4,5,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02
44285,8 This trick will change your life forever,4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
14377,90 Open-source libraries accelerate machine learning workflows,7,9,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887
22698,66 You won't believe what happened next,3,1,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
35832,47 Top 7 secrets companies don't want you to know,5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
10604,Stock market falls amid inflation concerns after report,7,4,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013
25642,90 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis dėl rinkos reakcijos (New York),12,1,0.008,0.777,0.008,0.008,0.008,0.008,0.162,0.008,0.008,0.008
16187,56 Apple unveils a new iPhone with advanced camera and AI features,8,3,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011
28594,100 Start-up raises $50 million to scale its AI platform,6,3,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014
12280,94 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
1413,"Ji padarė X — kas nutiks toliau, pribloškia (Vilnius)",6,1,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
6120,"10 priežasčių, kodėl niekada nepirkti šio daikto — Number 5 is shocking (Vilnius)",9,9,0.01,0.01,0.225,0.01,0.01,0.01,0.01,0.01,0.01,0.695
14119,89 Messi įmušė įspūdingą įvartį Lygų taurėje,6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
26380,69 Investors hedge inflation risk using index-linked bonds — analysts say,10,9,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.918
28546,40 Šis triukas pakeis jūsų gyvenimą amžiams,5,1,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
8997,21 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
14017,73 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
2677,Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą (Madrid),8,5,0.011,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011
48469,64 Transfer rumors suggest a record deal for the young striker,7,3,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013
357,46 This trick will change your life forever,4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
3464,43 Star player signs a multi-year contract with club,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
18998,89 Major security breach affects millions of users worldwide,7,1,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
49060,58 She did X — what happens next will shock you,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
23145,Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus — analysts say (Madrid),10,8,0.009,0.009,0.009,0.009,0.199,0.009,0.009,0.009,0.728,0.009
2045,"Negalėsite patikėti, kas įvyko toliau — Find out why (New York)",6,6,0.014,0.334,0.014,0.014,0.014,0.014,0.552,0.014,0.014,0.014
9508,Start-up raises $50 million to scale its AI platform dėl rinkos reakcijos (London),9,3,0.01,0.01,0.01,0.694,0.01,0.01,0.226,0.01,0.01,0.01
49366,14 Treneris aiškino naują gynybos taktiką po rungtynių (London),7,0,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
21728,55 Local team wins national championship in overtime,6,7,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014
49148,46 Local team wins national championship in overtime,6,7,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014
24439,32 Stock market falls amid inflation concerns dėl rinkos reakcijos,8,4,0.011,0.011,0.011,0.011,0.678,0.011,0.233,0.011,0.011,0.011
698,"Ji padarė X — kas nutiks toliau, pribloškia (Kaunas)",6,1,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
20361,Open-source libraries accelerate machine learning workflows — analysts say (Berlin),10,9,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.918
24213,69 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
11001,88 Messi scores a stunning goal in the Champions League match po pranešimo,8,4,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011
49973,72 She did X — what happens next will shock you,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
1384,Open-source libraries accelerate machine learning workflows after report,8,9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9
1614,"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — You won't believe it (Kaunas)",7,2,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013
20900,You won't believe what happened next — Read more (Kaunas),5,1,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
3218,Major security breach affects millions of users worldwide after report (Berlin),9,1,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
11120,76 She did X — what happens next will shock you,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
598,Žvaigždė pasirašė daugiametę sutartį su klubu dėl rinkos reakcijos (Berlin),8,8,0.011,0.011,0.011,0.011,0.011,0.011,0.233,0.011,0.678,0.011
21636,74 10 reasons you should never buy this gadget — Read more,4,7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02
299,9 Startuolis pritraukė 50 mln. USD DI platformos plėtrai,7,0,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
28721,10 reasons you should never buy this gadget — Number 5 is shocking (Paris),6,7,0.014,0.014,0.374,0.014,0.014,0.014,0.014,0.512,0.014,0.014
2690,Treneris aiškino naują gynybos taktiką po rungtynių after report (Vilnius),8,0,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
5820,Kaip pagreitinti kompiuterį paprastais triukais (Berlin),5,5,0.017,0.017,0.017,0.017,0.017,0.85,0.017,0.017,0.017,0.017
38151,88 How to speed up your computer with simple tweaks (Berlin),5,5,0.017,0.017,0.017,0.017,0.017,0.85,0.017,0.017,0.017,0.017
18039,Star player signs a multi-year contract with club po pranešimo (New York),10,8,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.918,0.009
